mayfly	chironomid	simulium	ephemeroptera	killifish	cyprinus	diptera	piscivorous	mosquitofish	phalacrocorax	odonata	herbivorous	insectivorous	chub	lepomis	orthoptera
riverbank	upriver	tributary	downriver	dam	riverine	atchafalaya	ganges	dam	meander	riverbed	tigris	styx	swampy	silt	rowboat




bookshop	e-zine	faq	wish_list	newsreader	pubs	newsfeed	subforum	twopenny	favicon


ocean	sea_squirt	sea_water	sea	sea_floor	coastline	seaward	urchin	saron	sea_urchin	sea_level	sandbank	deep-sea	littoral	shipwrecked	tidepool
plumed	unfurl	breastplate	sceptre	adorned	buckler	robed	jewelled	coronet	scabbard	crowned	scepter	jeweled	diadem	battlement	heraldic
cistern	waterworks	canal	artesian	earthen	aqua	croton	qanat	embank	waterwheel	forebay	nymphaeum	sluice	causeway	subterranean	bath
energy_resource	nuclear	nuclear_power	reactor	atomic_energy	energy_technology	electrometallurgical	renewable_energy	waste-to-energy	areva	energy_development	bioenergy	uranium-233	nuclear_physics	nuclear_waste	energy_production
heavyweight	world-beating	bested	juggernaut	storied	behemoth	contender	wunderkind	also-ran	single-handedly	overscaled	up-and-coming	showpiece	big-name	top-flight	has-been
skate	bobcat	steeplechase	lehtonen	sprinter	sprint	goalmouth	tackler	roping	halfback	tailback	winless	midcourt	fullback	rusher	koivu


cohabitation	remarriage	marri	conjugal	matrimony	divorce	wedlock	cohabit	matrimonial	monogamy	unmarried	married	marry	same-sex	childless	betrothed
cabinetmaker	outbuild	oakland	leva	bela	brod	stonemason	joane	lodger	carinthia	burhan	ekdal	estate_agent	warde	milnes	chattel
prophesy	hosea	prophetic	jer	messia	prophet	psalm	yhwh	parashah	psalm	zech	psalmist	prophetical	prophecy	midrash	lament
ferdinand	hohenzollern	austro-hungarian	habsburg	landgrave	nuncio	rhenish	bavaria	hapsburg	otho	galba	bohemia	arras	valen	palatinate	antipope


augment	complement	enhance	complement	supplement	complementary	utilise	expand	augment	integrate	broaden	provide	strengthen	designed	develop	collaborate
bottling	brewery	distil	brew	microbrewery	brewer	rotgut	brew	distillery	malt	winemaking	ale	malter	glenmorangie	vintner	california_wine

intellection	determinateness	thing-in-itself	bodiless	intangibility	self-existent	demiurge	infinitude	quiddity	nonbeing	givenness	supersensuous	inherence	idol	millian	anatta
xanthate	cosolvent	monoclinic	rheological	electrostatics	smectic	thermocapillary	methylamphetamine	glucomannan	glucosylation	rheometer	crystallinity	eculizumab	titz	diblock	furazolidone
air-to-air	twin-engine	air-to-ground	helicopter	aeroplane	airframe	in-flight	aviator	turboprop	cockpit	low-altitude	aircraft_carrier	aircrew	seaplane	airworthiness	hypersonic
user_interface	gui	customizer	graphical	graphical_interface	user	application_program	renderer	man-machine	interfacing	programmability	point-and-click	interface_design	event-driven	functionality	programmatically
capital_gain	reinvest	undistributed	taxable	stock	income	anti-avoidance	dilutive	mark-to-market	deduct	debenture	taxed	intercorporate	earn	interest-bearing	passthrough

passivity	inevitable	inexorable	rigidity	inflexibility	stagnation	deep-seated	unwillingness	indecision	inexorably	stubbornness	newtonian	slowness	surmountable	inevitability	imponderable
prescript	prescription_drug	over-the-counter	nonprescription	formulary	reimportation	medic	copay	pharmacist	pharmacy	drug	medicare	cipro	prescriber	copayment	medic
hyperlink	link	hyperlink	clickable	url	page	links	web	bookmark	hypertext	printer-friendly	web_page	homepage	backlink	html	nofollow
laurea	degree	llb	degree_program	staatsexamen	postbaccalaureate	nondegree	cag	undergraduate_degree	magister	tripos	first_degree	mlitt	mdiv	conferment	conferral

one	vertue	meane	realm	lawe	self	fear	veri	warre	farre	keep	wherewith	special	ani	soon	uttermost
buttered	cake	butter	porridge	stewed	unleavened	bagel	biscuit	oreo	sliced	morsel	cornmeal	oatmeal	baked	whole-wheat	pancake
mccarthyism	witch-hunt	anti-communism	mccarthyite	discredit	hysteria	demonize	red-baiting	conspiratorial	rail	anticommunist	scandalous	demon	hounded	unrepentant	heavy-handed
golar	carolina	wilmington	carolina	carolinian	greenville	buncombe	hoke	augusta	wangari	agnes	macon	gaston	tarheel	caswell	charleston

recycle	recyclable	recycled	computer_recycling	e-waste	waste	compostable	composting	curbside	waste_collection	e-scrap	eco-friendly	takeback	landfill	compost	disposal
community_development	community_service	neighborhood	volunteerism	community_health	partner	outreach	revitalize	fostering	community_school	communitywide	revitalization	underprivileged	civic	local	helping
spotted	binocular	darting	spotter	glint	streaking	telltale	squint	squinting	sighting	heads-up	bloodhound	stealthy	blurry	wingbeat	underdrawing
villager	outskirt	town	shanty	headman	hut	thatch	subdistrict	kampong	inhabit	nearby	barangay	luang	adivasi	beni	chiefdom

conveyer	buckle	seatbelt	strap	seat_belt	green_belt	black_belt	pant	helmet	waistband	loose-fitting	waist	air_pump	belt	sleeved	backrest
bolstering	boost	strengthen	bolster	spur	jump-start	capitalize	solidify	revitalize	beef	reinvigorate	undermine	expand	boosting	galvanize	fortify
dolomite	peridotite	quarried	bentonite	barite	chlorite	anhydrite	dolomitic	schist	siliceous	limestone	claystone	pumice	kaolin	quartzite	albite
raising	raised	awareness	money	bring	educate	heighten	increase	encourage	help	fundraising	subsidize	fundraiser	fund	fundraise	giving
skyrocket	sky-high	high-priced	hurting	big-ticket	wallet	spender	doling	squander	moneyed	gouging	splurge	bread-and-butter	skimp	bankrupt	cheap
bluesy	dancehall	riff	soulful	lo-fi	rockabilly	synth	soundtrack	jazzy	falsetto	recitative	reggae	twangy	anthemic	remix	crooning
strategic	approach	overarching	tactic	plan	operationalize	two-pronged	planning	goal	implement	three-pronged	tactical	aligning	strategically	follow-through	institutionalize

bluish	paleness	tint	pinkish	greenish	tinge	reddish	luminous	mottled	darkening	purplish	iridescent	yellowish	shimmer	silvery	light-colored
pes	dvt	sectoring	q95	resistive	unsynchronized	ce	pt	multilink	opcode	nb	p.e.	pec	ls	alt	compressive
fumigant	disinfestation	fumigate	fumigator	chloropicrin	spraying	bromide	solarization	fungicidal	phytotoxicity	vikan	thiram	imidacloprid	insecticidal	chlorothalonil	metalaxyl
scandinavian	plectranthus	helicotylenchus	mensheviks	pyrocumulus	figurehead	1994	tabasaran	minimalist	tyrannosaur	thinnings	hypervisor	push-up	stint	downburst	hyperlipidemia

taxiway	motorboat	duets	nonparalytic	decant	coupler	standoff	downspout	spectator_sport	459th
consult	law_firm	nonlawyer	accounting_firm	llp	consulting_firm	business_law	management_consulting	mba	touch	lybrand	busi	oligopolistic	cpa	broker	noncore
umpire	refer	offside	scorer	unsportsmanlike	refereeing	goalkeeper	goalie	teammate	batsman	semifinal	tiebreaker	foul	cantalejo	goaltending	off-field
curtly	gripe	smilingly	misdial	snippy	angrily	phone	grice	badgering	chime	mouthed	blurting	politely	absent-mindedly	smirk	blearily

extinguishing	extinguish	firebreak	extinguisher	hydrant	tinder	conflagration	smolder	fire_protection	fire_prevention	kindling	combust	combustible	fire_safety	douse	noncombustible
incompetence	bungling	inept	arrogance	misstep	sloppiness	ineptness	pettiness	fiasco	blunder	irresponsibility	debacle	hubris	mendacity	inexcusable	fatuous

loomis	tugwell	waggoner	darrell	payn	culp	totten	horner	hindman	underwood	holbrook	burrow	prall	hinton	hoke	williston
precise	accuracy	toler	exactitude	inexact	imprecision	repeatability	exactness	smoothness	imprecise	clarity	exacting	intricacy	sharpness	machining	sonority

earmark	disburse	funds	unspent	funding	interest-bearing	underwrite	earmarking	unexpended	reinvest	grant	money	subvention	trust_fund	reinvest	subvent
chairperson	at-large	nonvoting	non-voting	delegation	us_house	legislator	representative_sample	rep	represent	represented	unrepresented	preside	representer	committee	senate
chromophore	pyrrole	amide	isomerization	complexed	isomer	ruthenium	bicyclic	thiol	monomeric	function	covalently	pyridine	aryl	carbene	heme

weaving	handloom	weft	woof	bobbin	embroidery	weave	knitted	embroidering	handwork	embroider	shawl	skein	distaff	woolen	adz
decant	furtwängler	antill	downspout	bulrush	googlearchy	cross-dress	meson	isolationist

rightness	equivocation	ascribe	metaphysically	irrationality	absoluteness	presuppose	presupposition	merely	moralism	self-regarding	equate	solipsism	reducible	moralistic	teleological
solidly	fundament	grounding	solidity	amorphous	solid_state	metallic	viscous	crystalline	solidified	compact	toughness	strong	granular	semisolid	rubbery

sideways	diagonally	zigzag	zig-zag	angled	straighter	twisting	back	wavy	left	just	pointy	winded	around	curved	streak
axonemal	subpulmonary	sarcomeric	elastin	colocalize	oligodendroglia	emerin	fibrillar	microfibrillar	proteases	myofibroblast	ligament	gata	lentiginosis	filamin	preaxial
budgetary	fiscal	biennium	budget	spending	shortfall	budget_deficit	deficit	fiscally	outlay	reallocate	overspending	unfunded	fy	cutback	austerity

secession	confederate	confed	secede	proslavery	disunion	slaveholding	tuscarora	revolt	slavery	secessionist	sectionalism	free-soil	war	sachem	cede
dermoptera	microchiroptera	margay	sandgrouse	curlew	calopogon	agouti	prosimian	pipewort	crawlies	menial	dicot	megachiroptera	muskrat	osprey	woodchuck
cerussite	lentogenic	furazolidone	murgh	velogenic	garbacz	circumesophageal	anthophyllite	schist	nitrofurazone	sinnar	periblast	bariaur

ecclesiastical	archdeacon	prelate	sacerdotal	romish	curial	visigothic	churchman	pontifex	curia	pope	presbyter	bishopric	augustinian	laodicea	coadjutor
python	absurdist	wacky	send-up	hilarious	lyricist	campy	rif	wordplay	butthead	parody	cheesy	lampoon	comedic	tongue-in-cheek	libretto
cabochon	jeweled	ankh	shako	lazuli	crosier	gules	candelabrum	jewelled	purpure	brooch	gule	valenciennes	carnelian	azurite	federigo
mortmain	residuary	mortgaged	seisin	escheat	forfeited	replevin	heirship	remit	usufructuary	mortgagor	seis	possessory	transferor	bailment	deduct
20th	twentieth	mid-twentieth	nineteenth	19th	seventeenth	eighteenth	18th	twenty-first	17th	16th_century	sixteenth	1900s	b.c.e.	16th	forebear


imperialist	colonialism	colonialist	expansionism	hegemony	imperialistic	neocolonialism	domination	militarism	hegemonism	castroism	colonizer	neocolonial	anti-imperialism	bolshevism	warmongering
quadruple	double	whammy	quintuple	doubled	duple	doubling	topped	treble	even	apiece	single	edged	sevenfold	slugging	scull
shoshone	pawnee	kiowa	paiute	lakota	ute	hidatsa	cheyenne	kickapoo	arikara	potawatomi	salish	blackfoot	intertribal	quapaw	algonquian

backgammon	croquet	scrabble	euchre	kickball	pinochle	shuffleboard	parcheesi	canasta	ping-pong	foosball	bocce	frisbee	solitaire	whist	multiball
silurian	ordovician	triassic	paleozoic	carboniferous	proterozoic	eocene	mesozoic	cretaceous	precambrian	oligocene	paleocene	fossiliferous	miocene	permian	breccia

dropsy	gout	sciatica	catarrh	toothache	pleurisy	decoction	ailment	arthritic	gangrene	rheum	scrofula	diaphoretic	ague	colic	choler
creative_nonfiction	microburst	hailstorm	hustler	wildebeest	procedural_programming

cello	violinist	violist	cellist	violin	clarinetist	mezzo-soprano	oboe	trombone	soloist	pianist	flutist	stringed	handel	percussionist	pizzicato
grand_national	rapid	teton	coulee	canyon	fork	grand_guignol	grand_theft	seignior	ronde	vizier	grand_admiral	majestic	grandiose	grand_prix	crowning

gravimeter	seismometer	gradiometer	magnetogram	theodolite	geophone	ionospheric	magnetometry	sounder	resistivity	inclinometer	gradiometry	tiltmeter	thermistor	seismograph	coring

steeple	cupola	battlement	transept	vaulted	parapet	octagonal	balustrade	lintel	archway	chancel	arched	sacristy	baptistery	domed	architrave

assign	assigned	assigning	unassigned	reassign	reassignment	reassign	ungraded	assignor	reassign	assign	homework	prelab	lir	assignee	prior
defeated	victory	victorious	defeat	hard-fought	pyrrhic	vanquished	capitulation	triumph	triumph	win	battle	all-out	vanquish	rearguard	wage
zasada
diagonally	oval-shaped	brownish-black	wavy	striped	underpart	yellowish-white	reddish-brown	grayish	bluish-gray	forewing	whitish	scalloped	greyish-white	reddish	serrated
humbles	chairwoman	sike	birdsall	kath	olivieri	cathi	petry	sheri	gertner	cathleen	board_member	councilwoman	pomerantz	thelma
speechwriter	clement	stockman	wald	pitt	seely	oliphant	blumberg	humphrey	lind	newspaperman	tugwell	curri	philander	bedel	stookey


nobleman	courtier	patrician	gascon	otho	duchess	burgundian	viceroy	ducal	plantagenet	personage	parvenu	aristocrat	castilian	owain	1760s
inceptisols	podzolic	entisol	alfisols	granulite	alluvium	clastic	claystone	interbedded	volcaniclastic	anhydrite	granitoid	augite	carbonatite	halite	orthoclase
meningococcal	chickenpox	cryptococcal	meningococcus	epiglottitis	meningococcemia	cellulitis	hemorrhage	enterovirus	bacteremia	gbs	ophthalmia	tetanus	septicemia	varicella	pneumonia
public_transit	skippers	hangar	olympian	subbasin	mare	dermer	s-23	barracouta	unskinned	refloat	new	absentee_ballot	boulevard	skimmer	condominium
wiegersma	l-moment	irregular	mailperson	checkers	valentyn	urobilin	scytinostroma	recreational_drug	multiversal	huddleston	visible_minority	catalonian	tram	contend	inswinging
zell	analog	judith	sienna	russo	jeffress	lineup	dori	henderson	zell	evans	leonard	davi	leszek	libby	rain
troy	saragossa	vienne	pavia	angers	visigothic	carthusian	burgundian	mantua	pisan	magister	sorbonne	bernardine	gratian	procopius	seleucia

regulate	regulation	regulated	controlling	promulgated	regulatory	codified	regulative	lawmaking	prohibit	prohibit	legislating	governing	legislated	contravene	lawfulness


airlift	jilib	jala	airlift	malange	gunbattle	shrapnel	strafe	corpsman	rocket-propelled	paktia	aminullah	garissa	dysentery	takur	typhus
striker	longshoreman	dockworker	burberry	bloke	hawker	navvy	balaclava	dock	iww	overcoat	teamster	hoisting	khaki	shopkeeper	bargee
mug	cordon	shantytown	run-down	crime-ridden	squatter	shanty	barricaded	patrolled	bulawayo	surveil	outskirt	gunpoint	carjack	enclave	carjack

ducal	duchy	palatinate	troy	burgundian	rhenish	vassal	arras	fief	aragonese	principality	gascon	bavaria	nobleman	viscount	florin
undocking	splashdown	atlantis	dock	spacewalk	spacewalk	cosmonaut	zarya	crewman	mainmast	aboard	liftoff	stow	radio	mainsail	undock
depend	nametag	wenchang	thumbnail	gospel_choir	dude	rauno	braveness
amphitheater	grandstand	amphitheatre	bleacher	fairground	stadium	palestra	fairground	colosseum	breezeway	hippodrome	pre-game	blvd	pavilion	roller-skating	marquee
scorecard	poltergeist	flannelbush	tomboyism	empanada
roadster	corvette	coupe	sedan	sporty	sport_car	supercar	v8	four-door	hatchback	escalade	mercedes	lexus	two-seater	turbocharged	racer
internet_access	superhighway	internet_safety	internet_connection	e-commerce	internet_site	cyberspace	dial-up	online	internet_security	always-on	telec	chatroom	world-wide	on-line	free-net
courtier	potentate	crown_prince	coronation	king	highness	sultan	ducal	retinue	throne	principality	princely	vassal	neagoe	daimyo	monarchy
lumber	wood	felling	pulpwood	stumpage	forest	clearcutting	clear-cut	old-growth	timbering	sawmill	teak	woodchip	merchantable	forest_management	overstock
wages	minimum_wage	living_wage	earner	piecework	worker	unionization	workweek	unskilled	nonunion	unionised	unionized	cost-of-living	casualisation	unionize	overtime


karat	semi-precious	gemstone	gemological	semiprecious	diamond	black_diamond	nephrite	corundum	moissanite	lazuli	amethyst	peridot	jadeite	jeweler	columbite-tantalite

parent	beginnings	grandparents	noncustodial	support_group	child_support	fatherhood	child	single_parent	mothers	guardian	parenting	latchkey	kid	depend	postadoption

schooler	kid	youngster	homeroom	preschooler	classwork	homework	juggle	socializing	school	time_management	extracurricular	after-school	home-school	tutor	homesickness
unloaded	unload	hoisting	dock	hauling	loading	offload	scow	dock	gangway	stow	loaded	dunnage	bunker	stowing	roll-off
taiga	siberian	altai	nomadic	altay	khanate	semi-desert	semiarid	lowland	nomad	carpathian	avar	turkic	nenets	nomad	tartar
complain	aggrieved	ombudsman	complainant	complaint	ombud	alleging	grievance	conciliation	complainer	complain	complaining	allegation	alleged	redress	unfairly
renormalization	integrable	hamiltonian	instanton	wavefunction	cauchy	semiclassical	symplectic	holomorphic	frobenius	perturbative	noncommutative	soliton	automorphic	hopf	conn
attain	nonleguminous	dial_phone	pervert	quadrathlon	fortran_program


bewail	wretch	pitiless	loth	haughtily	nigh	mirth	lordly	shew	direful	wantonness	maddened	disconsolate	chanced	timorous	blackguard
summer-flowering	ageratum	acanthospermum	pyrola	hawkweed	tiarella	helenium	eupatorium	white-flowered	cacalia	phyllanthus	round-leaved	aleurites	lophatherum	cortaderia	aucuba


rainfall	precipitable	climatological	interannual	climatology	wetness	evapotranspiration	snowfall	convective	cloudiness	snowmelt	orographic	stratiform	storminess	advection	equatorward


pakistani	kashmir	india	indo-pak	lahore	taliban	wasim	kashmiri	baluchistan	subcontinent	sharif	khan	bihari	pashtun	akram	pathan
polybius	herodotus	cicero	josephus	pompeius	dionysius	nepos	juvenal	chronicler	nicephorus	aurelius	siculus	flavius	cognomen	claudius	hadrian
huffing	puffed	smacking	puff	thump	spitting	noisily	belching	whiff	rattle	panting	tug	thumping	bob	growling	red-faced
signal_processing	sideband	demodulation	digital_signal	transduction	nan	crosstalk	signalling	multipath	signal	beamforming	modulation	depolarization	demodulator	fixed-point	cochannel
semiarid	arid	wetter	climatic	climatically	edaphic	xeric	monsoonal	vegetational	shrubland	microclimate	subtropical	subalpine	montane	postglacial	tableland
intercomparison	junket	nontest	labourite	pyn	subconcept
proterozoic	precambrian	mafic	ultramafic	basaltic	siliceous	paleozoic	granitic	neoproterozoic	carboniferous	gneiss	felsic	granitoid	metamorphic	peridotite	ophiolite
interchangeably	terminological	definition	definitional	phrase	rephrasing	ambiguous	meaning	misnomer	confusing	ambiguity	interpret	conciseness	synonym	denotation	infinitive
traceless	nontrading	casemated	afterguard	sentry	home_guard	unexalted	northwestwardly	coast_protection	bionomic	swat	tremblor	stinkard
clipped	clip	antialias	trimming	polyline	cutout	frustum	scrollable	shading	antialiasing	resizing	unclipped	drawable	viewport	scissor	redraw
ecological	ecologist	biogeography	paleoecology	organismal	limnology	ecosystem	biotic	geomorphology	zoology	ethology	ecotoxicology	ecophysiology	hydrology	environmental_science	prehistory
jvm	bytecode	runtime	applet	applet	cross-platform	object-oriented	jikes	type-safe	compiler	visibroker	run-time	platform	client-side	server-side	programming_language


celsius	centigrade	degree_fahrenheit	degree_celsius	thermometer	hotter	temperature	subzero	sub-zero	frigid	unseasonably	heatwave	cool	sweltering	warmed	overheating
earring	pendant	winch	sunglasses	apron	sleight	hedger	moccasin	adulter	bunchgrass	hemoglobin	archeologist	orthopedist	comfort	hydrologist	theosophist
gazing	eye	unearthly	gleam	gaze	twinkling	dimness	seeing	beholding	flitting	glint	dimly	alight	stealthily	beckoning	clatter


quebecois	french-canadian	quebec	kitchen	ont	honourable	duma	saskatoon	arras	kagame	modest	leger	newfoundland	romain	germain	new_brunswick

russian	kremlin	russia	belarusian	aleksandr	belarus	belarussian	baku	vladivostok	ukrainian	kirov	yury	segodnya	komsomolskaya	pravda	tsarist
integrating	integrated	system_integration	integrate	data_integration	eai	centric	information_integration	framework	enterprisewide	business_process	meccano	reusability	implementation	toolset	data_model
religious	religionist	judeo-christian	monotheistic	christianity	secular	hinduism	islam	wicca	secularism	neo-pagan	zoroastrianism	sikhism	polytheism	paganism	syncretism
innovate	technology	technological	leading-edge	innovative	entrepreneurial	entrepreneurship	revolution	commercialize	innovator	marketplace	forward-thinking	commercialization	innovativeness	entrepreneur	advancing
plotter	s75	photocontrol
cedro	caryota	laportea	clarkia	rainforest	tadarida	leaf-nosed	grindelia	plumeria	erigeron	spondias	piedra	carpenteria	dudleya	eryngium	pterocarpus
direct	downingia_concolor	legal_system	nondisqualifying
intersect	crosswalk	stoplight	signal	blvd	pedestrian	intersecting	lane	northbound	frontage	eastbound	boulevard	bisect	southbound	overpass	driveway

kingfish	gull	snipe	grebe	coot	nestling	gavia	shoveler	birdwatch	curlew	goldfinch	godwit	heron	blackbird	bullfrog	spoonbill
zoological	wild_animal	fur-bearing	non-game	nongame	ornithology	broodstock	ornithological	carnivora	seahorse	macaw	zoo	herpetological	herpetologist	mammalia	capybara
physician	in-hospital	treatment	post-op	anticoagulation	hospital	prescriber	hospitalization	nephrologist	post-operative	phlebotomy	dialysis	preoperatively	work-up	clinician	precertification
faun	tannhauser	idol	ademar	bewitched	queen	fortune-teller	enchantress	conjuration	circe	radiantly	oracular	sibyl	mnemosyne	enochian	ravishingly


perpendicularly	diagonally	circularly	parallelogram	transversely	radially	z-axis	x-direction	horizontally	angled	counter-clockwise	angle	angl	equidistant	polarizer	azimuthal

athenaeum	collegium	belles	guildhall	aula	sheldonian	oratory	peripatetic	tercentenary	skene	playhouse	elocution	gymnasium	blackfriar	revue	psalter
executioner	malefactor	jailor	insolence	hereupon	insolent	harangue	withal	entreat	suppliant	entreaty	gallow	wretch	jailer	flog	praetor
supt	kontcha
subconcept	popular
sponde	dactylic	trochee	tetrameter	anapaest	trimeter	asperges	affricate	christ	trochaic	obstruent	hexameter	melodist	lipread	nonfluent	intralingual

wildlife_management	non-game	nongame	habitat	wildlife_conservation	conservationist	birdwatch	grouse	fur-bearing	bobwhite	waterfowl	recreationist	furbearer	wildfowl	streamside	migratory
certificated	credential	apostille	accredited	certifier	certification	appealability	nondegree	birth_certificate	certified	attest	authenticated	attestation	diploma	testamur	residence_permit
grossular	danburite	emerald	savannah	googlearchy	isolationist	wairakite	junket	subhedral	loam	antill	dimer	bulrush	krakowiak	hedgehog	ball
tendonitis	bursitis	tendinitis	soreness	backache	fasciitis	overexertion	sciatica	lacer	sprain	arthritic	achy	contusion	osteomyelitis	plantar	sunstroke
northwestwardly	shide	maniago	batlle	zewde	sea_cucumber	iyyar
secessionist	armed	paramilitary	insurgent	unarmed	fedayeen	regiment	insurrection	mahdi	loyalist	noncombatant	sunni	rebel	shi'ite	mujahidin	hawza
genus_allium	alaria	cell-like	multicelled	bowlful	loxodon	ma	apoplast	iego	shelled	triturated	unappropriate	bean-shaped	sliver	teem	sheatfish
painterly	chiaroscuro	cubist	brushwork	sculptural	pointillist	cubism	mannerist	portraiture	illusionistic	titian	coloristic	gouache	expressionist	self-portrait	chagall
cut-off	significance_level	p-value	arbitrarily	stringency	maximally	non-zero	criterion	linearly	categorical	chi-square	threshold	appreciably	proportionality	uniformly	discriminator
turret	bulkhead	goof	bullhorn	maritime_patrol	museophile	pelts	strap	track-mounted	backboard	s75	carbonyl	rectilinearly	taillight	kestrel	guardrail

youngster	youth	impressionable	girl	youthful	boy	manhood	preteen	teenage	youth	middle-aged	pre-teen	precocious	teen	children	doted

harassment	harassing	ombud	harrass	grievant	harass	ombud	harassed	sexual_harassment	accuser	coworker	retaliation	perpetrator	complainant	reprimand	insubordinate


parcel	ejido	landholding	landless	cultivable	distribution	clientelistic	kolkhoz	fragmented	fragment	siphon	inefficiency	misallocation	redistribution	agrarian	peasant

technophobic	technophile	nerd	gullibility	luddite	ubiquity	laziness	unsophisticated	enamored	newfangled	anti-intellectual	scoff	nowadays	apathy	naivete	clueless

racehorse	filly	racing	thoroughbred	motocross	disc_jockey	wrangler	derby	go-kart	pooch	shaggy-haired	burly	gelding	racer	caddy	indy
gruden	coachable	featurette	klauber	claggett	warhorse	articulateness	photogenically	grendel	vroom	nesta	watercolourist	groaner	lighthorse	huntress	egomaniac

spammer	spam	spamming	in-box	email	antispam	phishing	unsolicited	inbox	whitelist	whitelisted	spammy	hotmail	scammer	e-mail	botmaster

half-duplex	multiplexer	isochronous	handshaking	packet	multiplex	kilobit	data_rate	mbit	kbps	multipoint	mux	baud	demultiplexer	baseband	data_link

chester	lew	beaumont	port_wine	ashtabula	hock	lackawanna	wilmington	nott	greenbrier	gray	westport	essex
gelding	cantina	feliz	beeline	geld	brunette	filly	basset	petite	cocker_spaniel	paloma	swanky	frisky	beefy	barney	caff
campo	castello	saint	isola	lago	dell	modena	prado	hora	alhambra	borgo	duomo	quinta	giulia	retiro	comune
offal	feedstuff	cottonseed	animal_feed	fish_oil	anchovy	inedible	pelleted	soya	tallow	salted	lecithin	menhaden	pilchard	by-product	seafood


revet	riprap	berm	revet	abutment	stonework	seawall	parapet	deck	planking	cofferdam	bulkhead	breakwater	i-beam	abut	distributary
hypha	mycelial	hyphal	conidial	rootlet	basidium	sporangium	septate	rhizome	mycorrhiza	hypha	filamentous	stolon	sclerotium	xylem	colletotrichum
light-duty	car	motor_vehicle	minivan	on-road	off-road	towing	model_year	suv	moped	subcompact	vehicle_registration	tailpipe	motorcycle	driving	cars
slumping	downturn	upturn	slowdown	rebound	recession	doldrum	bottomed	tailspin	recessionary	stagnation	sluggish	plummet	bullish	plummet	collapse

skiff	prow	mainmast	mizzen	mainsail	forecastle	whaleboat	foremast	hawser	astern	flat-bottomed	foredeck	gunwale	jib	spanker	billow
river_delta	delta	ijaw	epsilon	omicron	alpha	omega	mekong_delta	kappa	theta	rho	tau	phi	ijaw	atchafalaya	chi
texas	dalla	texan	peay	houstonian	metroplex	lubbock	bockris	antonio	ut	independent_school	beaumont	tulsa	astrodome	bluebonnet
pliable	encased	one-piece	ribbed	snugly	ferrule	encasement	two-piece	lubricated	retractor	encasing	neoprene	contoured	cylindrical	roughened	dome-shaped
shanghai	chinese	hu	china	zhu	jiang	taiwan	chine	yuan	wen	taiwanese	peking	xian	wang	li	qin
dublin	ulster	galway	irish	irishman	brehon	townland	celtic	limerick	eir	kildare	loyalist	wolfhound	brit	brogue	cork
reject	reject	acceptance	rejected	repudiation	insistence	accepting	denial	outright	uncritical	refusal	accept	unconditional	disappointment	knee-jerk	disregarding
school_bell	tinkling	toll	rung	ringing	sound	carillon	peal	pealing	doorbell	peal	rang	unring	belfry	tinkle	rememberable
polarimetry	spectrograph	coronagraph	photometer	telescopic	photoelectric	spectroscopically	phosphorescence	redshifted	spectrophotometer	chromosphere	spectrographic	maser	spectrophotometry	h-alpha	photocurrent
sub-saharan	african	south_african	west_african	oceania	tanzania	apartheid	multichoice	lusophone	saharan	thabo	mozambique	africanist	south	namibia	zuma



emblem	visored	armlet	regalia	headdress	emblazon	vestment	affixed	armorial	kirpan	epaulet	heraldic	coronet	armband	embossed	bandanna
kind	exactly	supposed	anything	nothing	seem	really	obviously	actually	sometimes	think	though	always	quite	willy-nilly	muddled


voyage	intrepid	adventurer	amundsen	circumnavigation	sail	pigafetta	whaler	keelboat	mountaineering	everest	journey	schooner	winter	reconnoitering	journey
accessible	assistive	usability	senda	usable	print-disabled	disabilities	disabled	ada	access	wheelchair	caption	disability	impair	nonvisual	paratransit
ummah	unswerving	unshakable	unyielding	kalon	mahmud	druse	steadfastness	unbending	umma	unfaltering	theocratic	befitting	unswervingly	hafiz	abbasid
coordinating	liaison	liaise	convener	co-chair	program_director	e-mentoring	assistant	manager	contact	contact	convenor	organizer	advisor	coordinate	gerri
hatti	yazata	bound	party	nergal	clepe	lycomedes	phylacus	polypoetes	fiendishness	magadha	hastely	kassite	ionian	mari	fomor
crepe	chiffon	neckline	cambric	tablecloth	tulle	hatband	gingham	frilly	pleated	muslin	terrycloth	kurta	pleat	sparkly	fur-lined
consignee	authorise	consignor	authorised	detain	pursuance	contravention	consigne	exempt	accordance	relating	derogation	above-mentioned	consignment	consign	therefor
russian_avant-garde	bacteriologist	medallist	subconcept
coding	recoding	programmer	refactor	refactoring	coded	codec	error-prone	maintainable	tweak	porting	tweaked	quirk	toolset	code	aliasing
virologist	biophysicist	bacteriologist	biochemist	microbiologist	immunology	autoimmunity	pathobiology	neurovirology	neuroimmunology	immunobiology	virology	immunological	embryologist	immunologic	neuropathogenesis
ubuntu	fortran	zlib	antony	brook	gentoo	rev	recompile	ported	aix	free_software	layout	libwww	appian	source_code	callista

gaol	pauper	almshouse	poorhouse	marshalsea	vagrant	vicarage	hovel	penitentiary	lodger	gaoler	tenement	parsonage	destitute	poor_law	flog
usurp	sovereign	usurpation	coequal	abrogate	usurp	discretion	answerable	overrule	magistracy	unelected	judicially	deference	usurp	arbiter	presume
