mayfly	chironomid	simulium	ephemeroptera	diptera	killifish	cyprinus	phalacrocorax	mosquitofish	trematode	herbivorous	insectivorous	chub	sunfish	piscivorous	salvinia
strait	becalmed	fjord	adriatic	sea_level	ocean	north_sea	sea	sea_water	coastline	aegean	chukchi	seabed	straits	tyrrhenian	coastwise
plumed	unfurl	buckler	sceptre	breastplate	coronet	adorned	jewelled	robed	diadem	scabbard	wyvern	jeweled	crowned	battlement	impaled
waterworks	canal	cistern	dam	croton	spillway	tributary	aqua	viaduct	river	riverbed	millrace	water_supply	antonine	cofferdam	palatine
areva	nuclear_power	nuclear	reactor	atomic_energy	energy_resource	electrometallurgical	energy_development	nuclear_waste	renewable_energy	energy_technology	actinides	nuclear_physics	pro-nuclear	alternative_energy	energy_policy
big-name	behemoth	blue-chip	heavyweight	up-and-coming	fast-growing	archrival	upstart	debut	mega	scrappy	moneymaker	booming	spinout	eye-popping	debut
skate	bobcat	lehtonen	steeplechase	goalmouth	sprinter	roping	tackler	tailback	sprint	halfback	fullback	winless	faceoff	1-1	upfield


matrimony	marry	concubinage	marri	divorce	polygamy	remarry	bigamy	conjugal	polygyny	polygamous	unmarried	premarital	monogamy	married	plight
cabinetmaker	oakland	outbuild	bela	burhan	leva	brod	stonemason	joane	carinthia	ekdal	gunsmith	lodger	letang	warde	chandlery
hosea	psalmist	jer	juda	prophet	psalm	deliverance	zech	old_testament	prophesy	messia	yhwh	gehenna	iniquity	nebuchadnezzar	josu
ferdinand	bavaria	hapsburg	hohenzollern	austro-hungarian	austrian	habsburg	saxony	magdeburg	landgrave	carinthia	bavarian	burgundian	nuncio	bohemia	lajos


enhance	complement	complementary	augment	complement	designed	existing	interdisciplinary	integrate	strengthen	deepen	provide	enable	develop	incorporate	strengthening
brew	brewery	brew	microbrewery	bottling	vintner	cider	beer	vodka	whisky	ferment	liqueur	lager	malt	fermenting	decamp

intellection	thing-in-itself	determinateness	bodiless	intangibility	self-existent	infinitude	demiurge	intuit	nonbeing	antinomy	corporeal	episteme	exteriority	univocally	concrescence
xanthate	cosolvent	monoclinic	rheological	electrostatics	thermocapillary	smectic	methylamphetamine	glucosylation	glucomannan	rheometer	crystallinity	hyaluronate	eculizumab	diblock	spermine
turboprop	flight	airframe	aircrew	airliner	tiltrotor	twin-engine	aviation	airplane	airfield	hangar	in-flight	jetliner	overflight	sortie	hypersonic
functionality	user_interface	point-and-click	application_program	graphical	interoperation	man-machine	pluggable	gui	application_program	interfacing	plug-and-play	api	programmability	scriptable	intuitive
reinvest	capital_gain	reinvest	invest	stock	windfall	payout	reinvest	investor	pretax	amt	tax	tax-deferred	income	investment	recoup

centripetal	centrifugal	frictional	rigidity	friction	exert	propelling	gravitation	momentum	inflexibility	counterbalance	propulsive	exert	stasis	buoyancy	steadying
prescript	prescription_drug	over-the-counter	drug	formulary	medic	medic	reimportation	prescriber	pharmacist	hydrocodone	copay	nonprescription	phentermine	pill	contraception
hyperlink	hyperlink	clickable	link	web_page	bookmark	page	web	url	hypertext	homepage	hypertextual	viewable	hotlist	bookmarking	context-sensitive
laurea	llb	cag	degree_program	undergraduate_degree	postbaccalaureate	doctoral	candidature	diploma	honours	mdiv	mlitt	degree	first_degree	nondegree	moderatorship

one	vertue	meane	realm	self	fear	lawe	veri	warre	farre	wherewith	ani	keep	soon	natural	find
buttered	butter	pudding	cake	custard	cornmeal	sauerkraut	cheese	omelet	oatmeal	baked	meringue	mashed	dice	muffin	toffee
mccarthyism	witch-hunt	hounded	mccarthyite	anti-communism	rail	red-baiting	demonize	discredit	demon	scandalous	unpatriotic	vilification	provocateur	indict	bogeyman
carolina	greenville	carolinian	durham	wilmington	myrtle	golar	carolina	charleston	beaufort	north	maggie	pembroke	emily	wangari	heel

recycle	recyclable	recycled	waste	e-waste	waste_management	landfill	curbside	disposal	incineration	waste_water	waste_collection	refillable	hershkowitz	trash	e-scrap
community_development	community_service	community_health	volunteerism	community_college	neighborhood	local	civic	community_school	service-learning	nonsectarian	involvement	faith-based	harambee	resid	communitywide
spotted	sighting	binocular	telltale	streaking	lookout	darting	snipe	spotter	noticing	optomotor	catching	slinking	flasher	blinking	spotty
villager	headman	townspeople	town	commune	outskirt	hut	farmhouse	orphanage	barefoot	ashram	herdsman	maasai	lisu	countryside	baba

conveyer	black_belt	conveyor	green_belt	buckle	seatbelt	seat_belt	airbag	car_seat	rops	belted	orogenic	strap	rearward	cogged	crumple
bolstering	weaken	undermine	bolster	strengthen	erode	undercut	boost	undermining	boosting	reinforce	adventurism	jeopard	shoring	embolden	weakened
dolomite	siliceous	quarried	calcite	chlorite	limestone	halite	calcareous	quartzite	pumice	bentonite	schist	tuff	feldspar	wallboard	breccia
raising	raised	lowering	hackl	awareness	encourage	money	fundraising	pledge	elevate	raiser	subsidize	donate	redouble	oppose	reconsider
wallet	no-brainer	doling	spender	high-priced	squander	feel-good	leery	begrudge	measly	do-gooder	sky-high	overpriced	big-money	penny-pinching	wring
remix	dancehall	reggaeton	reggae	remix	soundtrack	lo-fi	synth	post-punk	deejay	blondie	iggy	electronica	jazzy	riff	vibe
strategic	three-pronged	two-pronged	near-term	strategically	medium-term	overarching	bolstering	aligning	aggressively	realign	institutionalize	refocus	achieving	approach	leveraging

bluish	paleness	pinkish	greenish	tint	reddish	darkening	tinge	mottled	redden	luminous	yellowish	shimmer	purplish	silvery	pigmentary
pes	physical_education	p.e.	ps	cintia	ped	els	p1	p4	p0	gf	kinesiology	yrs	mst	unpartitioned	relocatable
fumigant	fumigator	fumigate	spraying	chloropicrin	disinfestation	spray	insecticide	vikan	parathion	imidacloprid	fungicidal	rodenticide	bromide	pesticidal	thiamethoxam
scandinavian	plectranthus	mensheviks	helicotylenchus	downburst	thinnings	push-up	stint	tyrannosaur	tabasaran	1994	hypervisor	photoproduct	pyrocumulus	figurehead	minimalist

taxiway	motorboat	duets	nonparalytic	decant	standoff	coupler	downspout	spectator_sport	subscript	459th
amrop	medium-size	blue-chip	medium-sized	company	consultancy	investment_firm	consult	cooper	law_firm	llp	keiretsu	outsourced	busi	lybrand	mid-size
refer	umpire	unsportsmanlike	refereeing	materazzi	offside	officiating	teammate	denness	batsman	pat	cantalejo	off-field	barthez	colt	judge
curtly	gripe	smilingly	phone	misdial	grice	badgering	snippy	chime	angrily	blurting	mouthed	politely	absent-mindedly	smirk	beeping

firefighting	fire_department	blaze	extinguishing	extinguish	fire_protection	wildfire	firefighter	extinguisher	fire_safety	forest_fire	flashover	burned	fireproof	fire_prevention	bonfire
bungling	inept	ineptness	incompetence	misstep	fiasco	bungled	sloppiness	pettiness	chicanery	blunder	mendacity	feckless	mendacious	inexcusable	uselessness

barrow	red	roane	holbrook	akin	hind	doty	darrell	hinton	loomis	cock	hayward	stephen	hoke	townsite	underwood
accuracy	precise	astrometry	repeatability	muon	astrometric	calibrate	munition	machining	ultra-high	reproducibility	calibrated	arcsecond	accurate	metrology	servo

earmark	unspent	earmarking	disburse	trust_fund	funding	unexpended	reinvest	reallocate	grant-in-aid	disbursement	budget	endowment	subvention	unobligated	trust_account
represented	committee	congressman	member	non-voting	constituent	subcommittee	nonvoting	uup	behalf	co-chair	represent	represent	relations	multimember	latta
quinone	thiol	pyrrole	chromophore	isomerization	ruthenium	six-membered	chlorophyl	pyridine	cycloaddition	hydroxyl	aryl	imidazole	monomeric	carbene	heterocyclic

weaving	weave	woof	woven	knitted	skein	embroidering	woollen	handloom	shawl	knitting	yarn	bobbin	coverlet	weft	drapery
decant	furtwängler	downspout	antill	googlearchy	bulrush	cross-dress	meson	isolationist	savor

rightness	ascribe	metaphysically	equivocation	self-regarding	solipsism	self-deception	absoluteness	kantian	consequentialist	subjectivist	moralism	egoistic	egoism	moral	tantamount
strong	grounding	waste	solid_state	slag	gaseous	semisolid	solidifying	waste_management	solidity	cement	solidify	solidified	molten	slurry	corrosion-resistant

sideways	back	sidewise	dashed	whirl	backside	perpendicularly	reel	trot	tug	straightaway	upside-down	hag	hesitating	trail	merrily
axonemal	colocalize	sarcomeric	subpulmonary	elastin	proteases	fibrillar	oligodendroglia	emerin	gata	lentiginosis	microfibrillar	neurofibrillary	adipogenic	intramembranous	preaxial
fiscal	budgetary	budget	biennium	outlay	spending	budget	fy	across-the-board	funding	overspending	expenditure	cutback	budget_deficit	overspend	unspent

confed	confederate	secession	disunion	slaveholding	secede	proslavery	secessionist	whig	confederation	warlike	antislavery	aggrandizement	unite	avowed	enfranchisement
dermoptera	microchiroptera	margay	sandgrouse	curlew	calopogon	prosimian	agouti	pipewort	crawlies	megachiroptera	menial	muskrat	osprey	dicot	bonobo
cerussite	murgh	lentogenic	garbacz	velogenic	nitrofurazone	circumesophageal	furazolidone	bariaur	periblast	sinnar

ecclesiastical	archdeacon	prelate	romish	sacerdotal	bishopric	curial	churchman	augustinian	curia	pope	presbyter	counter-reformation	consistory	pontifex	cyprian
wacky	python	absurdist	send-up	hilarious	lyricist	wordplay	campy	butthead	rif	parody	cheesy	lampoon	tongue-in-cheek	sappy	riff
cabochon	jeweled	ankh	shako	lazuli	crosier	jewelled	purpure	gules	candelabrum	gule	brooch	valenciennes	maria	terra-cotta	foliate
forfeited	mortmain	seis	seisin	residuary	replevin	remit	possessory	escheat	mortgaged	usufructuary	unappropriated	forfeitable	detinue	heirship	forfeit
19th	20th	18th	mid-twentieth	sixteenth	nineteenth	twentieth	17th	16th	eighteenth	seventeenth	16th_century	twenty-first	fifteenth	thirteenth	medieval


imperialist	imperialistic	expansionism	expansionist	colonialism	hegemony	domination	colonialist	subjugation	hegemonic	adventurism	nationalism	capitalism	militaristic	isolationism	militarization
quadruple	double	whammy	quintuple	doubling	digit	four-fold	back-to-back	helix	longshot	strikeout	rebounding	at-bat	leadoff	jeopardy	infield
shoshone	pawnee	paiute	kiowa	lakota	hidatsa	kickapoo	cheyenne	potawatomi	arikara	ute	yurok	salish	quapaw	oglala	tlingit

backgammon	scrabble	croquet	euchre	parcheesi	kickball	solitaire	pinochle	canasta	whist	shuffleboard	mancala	foosball	ping-pong	snooker	shuttlecock
ordovician	carboniferous	triassic	eocene	oligocene	paleozoic	cretaceous	silurian	pliocene	miocene	mesozoic	cenozoic	proterozoic	paleocene	precambrian	cordilleran

gout	catarrh	dropsy	ailment	scrofula	dyspepsia	toothache	pleurisy	indigestion	malady	gouty	scurvy	sciatica	arthritic	diaphoretic	backache
microburst	creative_nonfiction	hailstorm	hustler	procedural_programming	wildebeest

viol	gamba	cello	violist	violinist	harpsichordist	cellist	harpsichord	oboe	bassoon	lute	violin	concerto	mandolin	flutist	yehudi
grand_national	rapid	grand_theft	grand_admiral	seignior	grand_guignol	grand_marnier	eschbach	coulee	grand_prix	teton	fork	grand_tour	duchy	grand_jury	pensionary

seismometer	gravimeter	tiltmeter	gradiometer	telemetered	seismograph	geophone	paleomagnetic	photometer	magnetometry	downhole	resistivity	interferometry	gradiometry	magnetogram	acis

steeple	cupola	battlement	parapet	balustrade	transept	archway	vaulted	churchyard	octagonal	lintel	arched	dormer	chancel	sacristy	cast-iron

assign	assigned	assign	homework	proctor	ungraded	tas	unassigned	grade	take-home	classwork	assigning	midsemester	instructor	graded	invigilation
defeat	victory	defeated	pyrrhic	victorious	vanquish	vanquished	win	capitulate	winnable	capitulation	hard-fought	repulse	fight	rearguard	crushing
zasada	manrico
magnetic_stripe	striped	hindneck	colored	striping	brownish-black	yellowish-white	patterned	mottled	grayish	variegated	yellow-orange	scapular	yellowish	gray	monochromatic
gertner	beth	congresswoman	humbles	ami	molly	bonini	arielle	corrin	patty	linda	bobbi	christin	amon	minority_leader	bja
weinberger	noy	clement	kemp	slade	bain	speechwriter	hayne	wynn	humphrey	esq	gaffney	sorensen	schaefer	hartley	doty


nobleman	courtier	patrician	gascon	otho	duchess	viceroy	burgundian	ducal	personage	plantagenet	pretender	parvenu	aristocrat	owain	hippolyte
inceptisols	podzolic	entisol	alfisols	claystone	alluvium	clastic	granulite	interbedded	volcaniclastic	granitoid	anhydrite	gneiss	mafic	halite	pond
meningococcal	strep	mononucleosis	pneumonia	chickenpox	toxoplasmic	encephalitis	measles	unvaccinated	tonsillitis	mumps	undiagnosed	varicella	septicemia	poliomyelitis	contagious
s-23	public_transit	skippers	subbasin	olympian	new	barracouta	dermer	mare	objector	rolling_stock	hangar	absentee_ballot	pierhead	boulevard	hamlet
wiegersma	l-moment	mailperson	checkers	irregular	urobilin	valentyn	scytinostroma	recreational_drug	contend	catalonian	battement	visible_minority	multiversal	huddleston	bandit
zell	analog	r.	pappas	steve	daiches	dori	bryan	gari	novick	eisenberg	levinson	saatkamp	sulzberger	haws	stephen
troy	angers	saragossa	vienne	pavia	mantua	carthusian	magister	procopius	sorbonne	gratian	louvain	carmelite	burgundian	arras	augustinian

regulate	regulation	regulated	legislating	controlling	restricting	legislate	enacting	regulatory	inhibit	self-regulation	proscribe	impeding	suppressing	unregulated	prohibitory


airlift	jilib	jala	gunbattle	malange	airlift	shrapnel	paktia	strafe	rocket-propelled	corpsman	aminullah	garissa	dysentery	takur	asht
striker	longshoreman	dockworker	agitator	iww	hawker	labor_leader	teamster	lorry	burberry	trade_unionist	harrods	shopkeeper	tilbury	bloke	anti-sweatshop
mug	cordon	shantytown	crime-ridden	run-down	barricaded	squatter	shanty	patrolled	surveil	outskirt	bulawayo	gunpoint	ghetto	carjack	mugger

duchy	marquess	nobleman	ducal	principality	palatinate	burgundian	gascon	viscount	bavaria	countryman	arras	fief	troy	otho	favour
undocking	atlantis	spacewalk	liftoff	splashdown	zarya	extravehicular	crewmate	orbiter	deorbit	bowersox	spacewalk	thruster	spacewalker	aboard	shuttle
depend	nametag	wenchang	thumbnail	gospel_choir	braveness	rauno	dude
bleacher	amphitheater	grandstand	stadium	amphitheatre	palestra	concourse	colosseum	pregame	hippodrome	courtside	gymnasium	pre-game	bocce	dodger	galleria
scorecard	empanada	flannelbush
roadster	coupe	supercar	corvette	sedan	sporty	v8	mercedes	hatchback	hardtop	lexus	hot-rod	sport_car	four-door	carmaker	vespa
internet_access	online	cyberspace	web	cyberporn	free-net	always-on	internet_connection	dial-up	on-line	tech-savvy	superhighway	digerati	videotex	new.net	e-zine
princess	half-blood	highness	king	dowager	idris	throne	duchess	queen	majesty	empress	countess	courtier	marquess	banish	marchioness
lumber	pulpwood	stumpage	clear-cut	felling	clearcutting	old-growth	woodchip	forest	logging	softwood	merchantable	wood	sawmill	hardwood	reforest
minimum_wage	unemployment	worker	earner	jobless	underemployment	wages	unskilled	unionized	employ	living_wage	wage-earning	cost-of-living	unemployed	pay	deindustrialization


gemstone	semi-precious	diamond	karat	black_diamond	gemological	gem	moissanite	nephrite	peridot	amethyst	gold	semiprecious	jeweler	mother-of-pearl	sandalwood

parent	mothers	grandparents	guardian	single_parent	teens	young_adult	national_school	home-school	teen	public_education	home-school	kid	marrus	homeschooling	group_home

schooler	kid	preschooler	classwork	homeroom	home-school	highschool	school-aged	youngster	third-grader	homework	preteen	school	latchkey	kindergarden	redshirt
unload	unloaded	loading	hauling	transport	stowing	railcar	berth	resupply	forklift	compactor	chute	winch	dock	barge	tanker
taiga	turkic	siberian	lowland	north-western	yakut	altay	north-eastern	anatolian	altai	carpathian	avar	mongols	ural	evenk	finnic
complain	ombudsman	aggrieved	grievance	allegation	alleged	complainant	maladministration	complaining	alleging	harasser	complain	misconduct	file	harassment	filing
integrable	k-theory	symplectic	renormalization	semiclassical	instanton	perturbative	conn	noncommutative	holomorphic	frobenius	fermion	hermitian	m-theory	supersymmetric	nonsingular
nonleguminous	dial_phone	attain	pervert	ivask	engineering_science


loth	bewail	wretch	pitiless	haughtily	lordly	wantonness	mirth	shew	piti	direful	frightful	abominable	nigh	smitten	reproach
summer-flowering	ageratum	acanthospermum	pyrola	tiarella	hawkweed	helenium	eupatorium	white-flowered	round-leaved	phyllanthus	lophatherum	cacalia	aleurites	cortaderia	jack-in-the-pulpit


rainfall	snowfall	snowmelt	cloudiness	streamflow	climatological	wetter	d0	extratropical	convective	baseflow	precipitable	stratiform	monsoonal	synoptic	mesoscale


pakistani	indo-pak	india	lahore	nawaz	sharif	kashmir	ayub	kasuri	khan	bihari	kashmiri	pathan	iran	akram	wasim
cicero	pompeius	juvenal	flavius	polybius	gaius	procopius	hadrian	silius	claudius	aurelius	lysias	nepos	aristid	orosius	galba
huffing	puffed	whiff	belching	gasping	puff	cough	reeking	spew	thumping	sweaty	spitting	giggling	panting	mumbling	creaking
signal_processing	radio_signal	multipath	transmitter	waveform	transponder	baseband	digital_signal	receiver	demodulation	wideband	transceiver	beamforming	amplifier	modulation	cancel
semiarid	wetter	edaphic	arid	xeric	climatic	vegetational	monsoonal	climatically	shrubland	microclimate	postglacial	wetness	subtropical	altitudinal	aridisols
intercomparison	nontest	junket	labourite	pyn	subconcept
proterozoic	ultramafic	precambrian	mafic	siliceous	carboniferous	paleozoic	basaltic	granitic	gneiss	radiolarian	neoproterozoic	ordovician	pyroxene	granitoid	terrigenous
terminological	interchangeably	glossary	describe	acronym	antonym	thesaurus	synonymously	etymology	synonym	dictionary	term	conceptual	synonymy	generalise	define
traceless	nontrading	casemated	home_guard	afterguard	sentry	northwestwardly	unexalted	coast_protection	swat	bionomic	tremblor
clipped	clip	resizing	bound	red-eye	resize	pasted	viewport	frustum	scrapbook	compositor	rescan	culling	rewind	resample	newspaper
environmental_science	ecological	ecologist	env	environmental	biogeography	ecophysiology	organismal	limnology	ethnobotany	conservation	environmental_studies	ichthyology	human_ecology	bioregionalism	metapopulation
applet	java_applet	java.net	jvm	cross-platform	decompiler	strut	visibroker	applet	jre	log4j


celsius	centigrade	temperature	hotter	degree_fahrenheit	degree_celsius	subzero	cooled	subfreezing	warmed	thermometer	air_temperature	frigid	deg	heat	frozen
sleight	earring	sunglasses	winch	hedger	archeologist	pendant	bunchgrass	moccasin	adulter	apron	orthopedist	comfort	zasada	racquet	hemoglobin
eye	gaze	gaze	gazing	feebly	sightless	motionless	beholding	seeing	trembling	dimness	gleam	wayfarer	shiver	darting	stock-still


french-canadian	quebecois	quebec	kitchen	honourable	saskatoon	provincial	ont	duma	governor-general	province	ukrainian-canadian	newfoundland	ojibway	joliette	leger

russia	russian	kremlin	primakov	ural	yevgeny	mikhail	anatoli	vladivostok	yuri	tarasov	aleksandr	nikolai	chechen	lavrov	komarovsky
integrated	integrate	integrating	seamless	system_integration	data_integration	europeanization	facilitate	intraregional	information_integration	complementary	social_integration	decoupling	harmonisation	acquis	integrator
religious	religionist	religiosity	secular	nonreligious	irreligious	secularism	christianity	proselytize	creed	deism	atheistic	religiously	mormonism	religiousness	espouse
innovate	dynamism	competitiveness	innovativeness	technological	innovator	innovative	entrepreneur	appropriability	schumpeterian	forward-thinking	entrepreneurial	boundaryless	commercialisation	reinvent	market_transformation
plotter	s75	photocontrol	cathi
cedro	caryota	clarkia	rainforest	laportea	tadarida	grindelia	erigeron	dudleya	plumeria	leaf-nosed	spondias	eryngium	piedra	carpenteria	tropics
direct	legal_system
intersect	signal	lane	crosswalk	intersecting	signalization	northbound	stoplight	overpass	oncoming	pedestrian	southbound	crossing	eastbound	centerline	hyperplane

coot	gull	godwit	gavia	grebe	curlew	gull	semipalmated	eider	heron	kingfish	haliaeetus	goldfinch	mallard	gannet	birdwatch
zoological	wild_animal	fur-bearing	nongame	non-game	ornithology	seahorse	ornithological	carnivora	broodstock	herpetologist	herpetological	macaw	herpetology	mammalia	flightless
physician	clinician	preoperatively	clinically	medic	intensive-care	post-operative	clinical	phlebotomy	medic	psychologic	icu	bedside	comorbid	in-hospital	rehospitalization
faun	queen	bewitched	tannhauser	ademar	idol	enchantress	circe	sibyl	mnemosyne	panegyric	fortune-teller	conjuration	sorceress	troilus	ravishingly


perpendicularly	radially	laterally	transversely	transverse	axial	curved	angular	oblique	outwards	inwards	symmetrically	centerline	radial	concave	z-axis

athenaeum	peripatetic	quadrille	belles	oratory	revue	eton	guildhall	elocution	oration	operetta	libanius	theatergoer	shakespearean	literati	vendome
executioner	malefactor	jailor	hereupon	insolence	insolent	harangue	suppliant	entreat	flog	gallow	withal	jailer	gibbet	beheaded	displeased
supt	kontcha	avian_flu
subconcept	popular
dactylic	trochee	sponde	tetrameter	anapaest	trimeter	asperges	hexameter	trochaic	affricate	christ	obstruent	melodist	lipread	iambus	adverb

nongame	wildlife_conservation	wildlife_management	conservation	conservancy	non-game	conservationist	endangered	habitat	waterfowl	national_park	wetlands	wetland	fws	migratory	fur-bearing
certification	birth_certificate	credential	apostille	notarization	appealability	diploma	notary	testamur	accredit	keystore	cag	nonrepudiation	autoenrollment	certify	countersignature
grossular	danburite	emerald	savannah	googlearchy	isolationist	junket	loam	subhedral	wairakite	hedgehog	krakowiak	antill	bulrush	dimer	hexafluorophosphate
tendinitis	tendonitis	sprain	ankle	bursitis	hamstring	soreness	overexertion	arthritic	concussion	sciatica	lacer	backache	lameness	plantar	metacarpophalangeal
northwestwardly	shide	maniago	batlle	zewde	sea_cucumber	iyyar
paramilitary	vigilante	demobilize	disband	warlord	arming	ituri	armed	demobilization	minutemen	terrorise	disband	disarm	rebel	congolese	taleban
genus_allium	alaria	cell-like	bowlful	ma	multicelled	iego	loxodon	apoplast	shelled	sliver	sprouted	bean-shaped	teem	shovelful	dolefully
chiaroscuro	painterly	cubist	triptych	titian	rembrandt	encaustic	cubism	sculptural	pointillist	drypoint	gouache	mannerist	watercolorist	coloristic	figural
cut-off	threshold	normal	fissile	outlier	normalize	chrominance	rescale	reprocess	deadline	centile	passband	nonnuclear	normalization	pull-in	overvoltage
turret	bulkhead	goof	bullhorn	maritime_patrol	museophile	track-mounted	strap	carbonyl	pelts	s75	backboard	rectilinearly	thruster	kestrel	sheepskin

girl	youngster	preteen	grown-up	young_adult	impressionable	children	youth	boy	middle-aged	youthful	pre-teen	adulthood	teenage	youth	upbringing

harassment	harrass	grievant	harassing	ombud	sexual_harassment	ombud	complainant	allegation	coworker	accuser	reprimand	nonconsensual	discourteous	harassed	unethically


parcel	ejido	distribution	cultivable	landholding	landless	clientelistic	fragment	siphon	fragmented	inefficiency	kolkhoz	misallocation	unevenly	decentralizing	repartition

technophobic	technophile	nerd	gullibility	ubiquity	newfangled	luddite	enamored	laziness	unsophisticated	anti-intellectual	nowadays	scoff	egghead	geeky	consumerist

disc_jockey	racing	thoroughbred	rodeo	racecourse	deejay	announcer	motocross	country_music	racehorse	dj	mixtape	racer	cockfight	foursome	go-go
gruden	coachable	featurette	warhorse	klauber	claggett	articulateness	photogenically	grendel	vroom	nesta	white-knuckle	dunderhead	watercolourist	groaner	razor-sharp

spammer	antispam	whitelist	spamming	malware	phishing	unsolicited	emailer	greylisting	blacklist	spammy	spam	in-box	filtering	inbox	ddos

half-duplex	multiplexer	handshaking	isochronous	data_rate	kilobit	multiplex	packet	baud	kbps	demodulation	mbit	multiplexing	transceiver	baseband	piconet

chester	lew	beaumont	port_wine	ashtabula	hock	lackawanna	wilmington	nott	greenbrier	gray	westport	essex	ephrata
gelding	paloma	geld	filly	feliz	brunette	cowgirl	coste	cantina	basset	cocker_spaniel	spaniel	larkspur	cocker	pinscher	dumpy
saint	castello	campo	modena	isola	borgo	dell	verona	segovia	emilia	hora	giulia	ristorante	milanese	sevilla	palio
cottonseed	salted	lecithin	soya	offal	pelleted	flaxseed	fish_oil	anchovy	feedstuff	tinned	inedible	lard	by-product	rancidity	sweetener


revet	riprap	berm	abutment	revet	stonework	seawall	cofferdam	deck	abut	travertine	parapet	gabion	i-beam	bulkhead	caliche
mycelial	hypha	hyphal	fruiting	basidium	sporangium	conidial	filamentous	rootlet	sclerotium	radicle	basidiocarp	rhizome	holdfast	epidermis	equisetum
on-road	motor_vehicle	motor	crashworthiness	vehicular	rear-end	light-duty	off-road	automobile	roadworthy	driver	braking	vehicle-to-vehicle	car	passenger	tailpipe
slumping	downturn	recession	upturn	recessionary	slowdown	rebound	uptick	bottomed	doldrum	double-digit	downtrend	plummet	plummet	bottom	anemic

mizzen	prow	skiff	mainsail	mainmast	hawser	spanker	astern	forecastle	jib	whaleboat	flat-bottomed	reef	foredeck	gunwale	billow
river_delta	omicron	epsilon	kappa	ijaw	delta	ijaw	buguma	atchafalaya	sigma	orinoco	upsilon	mekong_delta	phi	omega	alpha
texas	dalla	lubbock	peay	antonio	ut	texan	brownsville	waco	houstonian	beaumont	christi	arlington	tyler	metroplex
encased	one-piece	ribbed	pliable	snugly	ferrule	encasement	lucite	lubricated	encasing	contoured	cylindrical	two-piece	neoprene	weatherproof	acrylic
china	hu	chinese	jiang	shanghai	chine	zhu	taiwan	zhang	peng	wei	chen	wen	peking	jilin	wu
limerick	ulster	gaelic	scottish	stormont	scot	scots	irishman	galway	cromwellian	welsh	celtic	fianna	heaney	irish	popery
reject	rejected	acceptance	reject	disapproval	hyperacute	obliterans	hostility	refusal	accepting	accepted	resubmission	submission	nonconforming	accept	anathema
ringing	school_bell	doorbell	jingle	lucent	tinkle	pealing	silver_bell	church_bell	photophone	taco	unring	clang	rung	clanging	jingling
photometer	polarimetry	spectrograph	coronagraph	telescopic	spectrophotometer	redshifted	phosphorescence	chromosphere	photoelectric	spectroscopically	spectrographic	maser	bolometer	hohlraum	collimation
south	african	sub-saharan	namibia	south_african	namibian	tanzania	mozambique	south_american	west_african	oceania	pretoria	continent-wide	saharan	asia	zambian



emblem	lapel	heraldic	badge	emblazon	armband	armorial	regalia	monogram	medallion	adorned	embossed	headdress	logotype	inscribed	bedecked
kind	obviously	think	though	certainly	say	anything	imagine	probably	seem	maybe	anyhow	really	actually	one	wrong


voyage	sail	adventurer	circumnavigation	disembark	reconnoitering	journey	ashore	reconnoiter	shipwrecked	nome	seagoing	whaler	journeying	schooner	breadfruit
accessible	assistive	nima	usability	web	web_content	searchability	web_page	access	print-disabled	visitability	watchfire	information_access	disabilities	nonvisual	intranet
ummah	unswerving	unshakable	unyielding	kalon	mahmud	steadfastness	druse	unbending	unfaltering	umma	tulku	unswervingly	befitting	theocratic	umayyad
assistant	paraprofessional	coordinating	intercollege	liaison	paraeducator	associate	executive_program	department	supervising	office_staff
hatti	yazata	bound	nergal	party	clepe	lycomedes	phylacus	magadha	fiendishness	polypoetes	kassite	hastely	ionian	mari	fomor
crepe	chiffon	neckline	cambric	gingham	tablecloth	tulle	hatband	frilly	pleated	terrycloth	muslin	kurta	pleat	bedspread	fur-lined
consignee	authorise	consignor	detain	authorised	pursuance	contravention	consigne	exempt	accordance	relating	above-mentioned	derogation	consign	consignment	therefor
russian_avant-garde	bacteriologist	medallist	subconcept
coding	programmer	praat	coded	codec	self-documenting	recoding	maintainable	software_developer	decoding	convolutional	scripter	noweb	zlib	codebook	tester
virologist	autoimmunity	microbiologist	neuroimmunology	neurovirology	immunological	biochemist	bacteriologist	biophysicist	virology	pathobiology	immunology	immunobiology	pharmacologist	autoimmune	paramyxovirus
mandrake	sorrel	chomp	miswak	cryptogram	burdock	cryptanalyst	bookworm	sarge	voraciously	dotard	sheepskin	mathematician	rhubarb	backwoodsman	unwork

pauper	gaol	marshalsea	almshouse	vicarage	vagrant	schoolmaster	poorhouse	lodger	alehouse	parsonage	matron	vagabond	poor_law	highgate	poore
usurp	usurpation	usurp	kingly	abdicate	subservient	devolve	sovereign	legislate	interpose	usurp	coequal	magistracy	vested	confer	scruple
invalidated	invalidating	invalidate	null	invalidation	valid	unavailing	incorrect	malformed	erroneous	nugatory	nullity	validly	voidable	erroneously	rejected

multisearch
depart	departmental	depart	interdepartmental	departmentally	assistant	dhhs	biology_department	department_head	division	intercollege	coordinator	education_department	state_department	interdivisional	art_department
